system,question,type,answer,latency,recall_at_5,faithfulness,relevance,reasoning
E5 + Mixtral 8x7b (Free),What was the Net Income of Wells Fargo in 2022 according to the '2022-annual-report_wellsfargo.pdf'?,fact_retrieval,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.2789645195007324,0.7837837837837838,0.0,0.0,"The AI returned a system error message instead of attempting to answer the question based on the provided context. Therefore, it is neither faithful to the context (as it did not extract any information from it) nor relevant to the user's question."
E5 + Mixtral 8x7b (Free),Who are the members of the Board of Directors listed in the 'BAC 2025 Proxy Statement'?,fact_retrieval,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",55.76527142524719,0.8536585365853658,0.0,0.0,"The AI returned a generation error message instead of attempting to answer the user's question based on the provided context. Therefore, it is neither faithful to the context nor relevant to the question."
E5 + Mixtral 8x7b (Free),What is the CET1 ratio reported in the '2024 ING Groep NV annual report'?,fact_retrieval,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.3529679775238037,0.9130434782608695,0.0,0.0,The AI returned a system error message instead of an answer. It did not utilize the provided context and therefore did not address the user's question.
E5 + Mixtral 8x7b (Free),"According to the 'Barclays-PLC-Pillar-3-Report-2023', what was the group's average Liquidity Coverage Ratio (LCR)?",fact_retrieval,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.26595306396484375,0.7037037037037037,0.0,0.0,"The AI did not provide an answer to the user's question. Instead, it returned a system error message, which is neither faithful to the context nor relevant to the question."
E5 + Mixtral 8x7b (Free),What were the Total Net Revenues for Goldman Sachs in 2023 according to the '2023-annual-report_gs.pdf'?,fact_retrieval,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.29081273078918457,0.8048780487804879,0.0,0.0,"The AI did not provide an answer to the user's question. Instead, it returned a system error message, which is neither derived from the context nor relevant to the question asked."
E5 + Mixtral 8x7b (Free),Report the Executive Compensation table for the CEO from the 'proxy-statement2025.pdf'.,tabular_extraction,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",58.79714870452881,0.7391304347826086,0.0,0.0,"The AI did not generate an answer to the user's question. Instead, it returned a system error message indicating that the model was decommissioned. As such, the 'answer' is not derived from the provided context and does not address the user's question at all."
E5 + Mixtral 8x7b (Free),"Extract the Net Interest Income values for 2022, 2023, and 2024 from the '250227-financial-statements-2024.pdf' and present them in a list.",tabular_extraction,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.3420448303222656,0.7872340425531915,0.0,0.0,"The AI returned a system error message instead of an answer. It did not attempt to extract any information from the provided context, making it unfaithful and irrelevant to the user's question."
E5 + Mixtral 8x7b (Free),What is the geographic breakdown of ING's revenues for 2023 as shown in the '2023-ING-Groep-NV-annual-report.pdf'?,tabular_extraction,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.36891746520996094,0.7560975609756098,0.0,0.0,"The AI did not provide any information related to the user's question or the retrieved context. Instead, it returned a technical error message, indicating a complete failure to generate a response. Therefore, the 'answer' is neither faithful to the context nor relevant to the question."
E5 + Mixtral 8x7b (Free),List the principal subsidiaries of Barclays as reported in the 'Barclays-Bank-UK-PLC-AR-2022.pdf'.,tabular_extraction,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.31256580352783203,0.9285714285714286,0.0,0.0,"The AI answer is a generation error message, not a response derived from the provided context or an answer to the user's question. Therefore, it is neither faithful to the context nor relevant to the query."
E5 + Mixtral 8x7b (Free),"From the 'financial-highlights-2024.pdf', what are the 5 Key Performance Indicators and their values?",tabular_extraction,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.26636290550231934,0.6,0.0,0.0,"The AI's response is a 'Generation Error' message, which is an internal system message and not an answer derived from the provided context. Therefore, it is not faithful to the context and does not address the user's question at all."
E5 + Mixtral 8x7b (Free),"Compare Bank of America's Net Income in 2022, 2023, and 2024 using the respective Annual Reports.",time_series_comparison,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.4283254146575928,0.7894736842105263,0.0,0.0,"The AI returned a system error message instead of attempting to answer the user's question using the provided context. Therefore, the 'answer' was not derived from the context and did not address the question at all."
E5 + Mixtral 8x7b (Free),How has Barclays' CET1 Ratio changed between the 2022 and 2023 Pillar 3 Reports?,time_series_comparison,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",46.713452100753784,0.7222222222222222,0.0,0.0,The AI provided a 'Generation Error' message instead of an answer to the user's question. This error message is not derived from the provided context and does not address the user's question at all.
E5 + Mixtral 8x7b (Free),Analyze the evolution of ING's Operating Expenses from 2022 to 2024 using the provided annual reports.,time_series_comparison,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.27344369888305664,0.9555555555555556,0.0,0.0,"The AI did not provide an answer to the user's question. Instead, it returned an error message indicating that the model it was supposed to use has been decommissioned. Therefore, there is no content to evaluate for faithfulness to the context or relevance to the user's query."
E5 + Mixtral 8x7b (Free),Was there an increase or decrease in Risk Weighted Assets for HSBC between the 2022 report and the 2023 report?,time_series_comparison,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.2585732936859131,0.6774193548387096,0.0,0.0,"The AI's answer is a generation error message, not content derived from the provided context. Therefore, it is not faithful to the context and does not address the user's question at all."
E5 + Mixtral 8x7b (Free),How has the Wells Fargo CEO's compensation varied when comparing the 2022 report with the most recent data available?,time_series_comparison,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.23878717422485352,0.782608695652174,0.0,0.0,"The AI did not provide an answer to the user's question. Instead, it returned a system error message indicating that the model used was decommissioned. Therefore, the output is neither faithful to the provided context nor relevant to the user's question."
E5 + Mixtral 8x7b (Free),Compare the 2023 Liquidity Coverage Ratio (LCR) between Barclays (from Pillar 3) and ING (from Pillar 3). Who has a better liquidity position?,cross_entity_comparison,"Generation Error: Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",0.28926634788513184,0.7058823529411765,0.0,0.0,"The AI answer is a system error message, not an attempt to answer the question using the provided context. Therefore, it is neither faithful to the context nor relevant to the user's question."
